cast,latitude,longitude
0,72.67722222,-56.66416667
1,72.83055556,-56.81305556
2,72.98472222,-56.96611111
3,73.01944444,-56.36555556
4,72.93777778,-55.65611111
5,72.91111111,-55.36222222
6,72.89611111,-54.91694444
7,72.82916667,-54.47527778
8,72.79472222,-54.27194444
9,72.84194444,-54.42333333
10,72.87944444,-54.52388889
11,72.84972222,-54.38805556
12,72.8775,-54.67777778
13,72.95722222,-54.95527778
14,73.0225,-54.83027778
15,72.99416667,-54.66472222
16,73.01444444,-54.52166667
17,73.00361111,-54.45805556
18,72.94277778,-54.78
19,72.91027778,-54.77638889
20,72.97666667,-54.94888889
21,72.91166667,-55.12666667
22,72.975,-55.88583333
23,73.01916667,-56.16305556
24,73.05111111,-56.06194444
25,73.05444444,-56.03611111
26,73.21555556,-55.17916667
27,73.19722222,-55.59361111
28,73.11722222,-55.79194444
29,73.14166667,-56.94666667
