Distance_km,Bed_Elevation_m,Latitude,Longitude
0.000000000000000000e+00,-7.242978975090201175e+02,7.289000000000000057e+01,-5.470000000000000284e+01
3.516042674909692495e-02,-7.239420093534415628e+02,7.289000269012494471e+01,-5.470107024204094870e+01
7.032085374653482268e-02,-7.235701592290268991e+02,7.289000537436491811e+01,-5.470214048442292665e+01
1.054812809910403854e-01,-7.231823471357836297e+02,7.289000805271986394e+01,-5.470321072714516930e+01
1.406417084828289754e-01,-7.227766737362783260e+02,7.289001072518982483e+01,-5.470428097020695191e+01
1.758021362206590721e-01,-7.223203476892070967e+02,7.289001339177477234e+01,-5.470535121360750708e+01
2.109625642042177174e-01,-7.218430935998084124e+02,7.289001605247467808e+01,-5.470642145734609585e+01
2.461229924328065533e-01,-7.213449114680796583e+02,7.289001870728959886e+01,-5.470749170142196505e+01
2.812834209060952606e-01,-7.208258012940140134e+02,7.289002135621949208e+01,-5.470856194583437571e+01
3.164438496238094478e-01,-7.202691885736498989e+02,7.289002399926435771e+01,-5.470963219058258886e+01
3.516042785850871932e-01,-7.196836667878410481e+02,7.289002663642420998e+01,-5.471070243566584423e+01
3.867647077891269713e-01,-7.190767677959936464e+02,7.289002926769902047e+01,-5.471177268108339575e+01
4.219251372360284247e-01,-7.184484915981001905e+02,7.289003189308880337e+01,-5.471284292683451156e+01
4.570855669243162334e-01,-7.177864800780371297e+02,7.289003451259355870e+01,-5.471391317291841716e+01
4.922459968546581965e-01,-7.170784481402500887e+02,7.289003712621327224e+01,-5.471498341933440202e+01
5.274064270253399078e-01,-7.163523968110928308e+02,7.289003973394794400e+01,-5.471605366608168453e+01
5.625668574365404462e-01,-7.156083260905551242e+02,7.289004233579757397e+01,-5.471712391315953994e+01
5.977272880875348360e-01,-7.148462359786550451e+02,7.289004493176217636e+01,-5.471819416056721508e+01
6.328877189777506462e-01,-7.139578505924481533e+02,7.289004752184169433e+01,-5.471926440830396388e+01
6.680481501067359051e-01,-7.130258415364866096e+02,7.289005010603621315e+01,-5.472033465636904026e+01
7.032085814736831475e-01,-7.120738521621552763e+02,7.289005268434564755e+01,-5.472140490476169106e+01
7.383690130782972760e-01,-7.111018824694421028e+02,7.289005525677001174e+01,-5.472247515348117730e+01
7.735294449200947886e-01,-7.100509407236485231e+02,7.289005782330934835e+01,-5.472354540252675292e+01
8.086898769982990842e-01,-7.089423578176216552e+02,7.289006038396361475e+01,-5.472461565189766475e+01
8.438503093126071830e-01,-7.078214671365514050e+02,7.289006293873279674e+01,-5.472568590159317381e+01
8.790107418622964408e-01,-7.066882686804606237e+02,7.289006548761693693e+01,-5.472675615161252693e+01
9.141711746465895905e-01,-7.055149713699627227e+02,7.289006803061599271e+01,-5.472782640195497095e+01
9.493316076656576064e-01,-7.042250170251591044e+02,7.289007056772996407e+01,-5.472889665261978109e+01
9.844920409183204324e-01,-7.029294567496109494e+02,7.289007309895889364e+01,-5.472996690360618999e+01
1.019652474404481701e+00,-7.016282905433018868e+02,7.289007562430272458e+01,-5.473103715491346577e+01
1.054812908122916948e+00,-7.003215184062214576e+02,7.289007814376147110e+01,-5.473210740654084105e+01
1.089973342073827789e+00,-6.988291341504917682e+02,7.289008065733513320e+01,-5.473317765848759109e+01
1.125133776256219242e+00,-6.973018196563491529e+02,7.289008316502371088e+01,-5.473424791075295559e+01
1.160294210669803316e+00,-6.957760732145450220e+02,7.289008566682720414e+01,-5.473531816333619560e+01
1.195454645314055542e+00,-6.942518948251100710e+02,7.289008816274559877e+01,-5.473638841623656504e+01
1.230615080188216748e+00,-6.926083415636185237e+02,7.289009065277889476e+01,-5.473745866945331073e+01
1.265775515291789111e+00,-6.908326589609075654e+02,7.289009313692710634e+01,-5.473852892298568662e+01
1.300935950624210635e+00,-6.890672611733895110e+02,7.289009561519020508e+01,-5.473959917683294663e+01
1.336096386185009033e+00,-6.873121482010431009e+02,7.289009808756821940e+01,-5.474066943099434468e+01
